Tarih,Omerli,Darlik,Elmali,Terkos,Buyukcekmece,Sazlidere,Alibey,Kazandere,Pabucdere,Istrancalar,Istanbul_Daily_Consumption
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096199.0
2011-01-02,0.0,0.0,0.0,0.42,1.37,0.87,0.2,2.26,1.89,1.39,2214668.0
2011-01-03,8.08,10.01,11.64,18.82,9.64,14.72,13.5,8.2,10.37,16.47,2092441.0
2011-01-04,2.78,8.48,7.09,3.42,0.83,4.31,4.3,1.44,1.6,3.99,2096199.0
2011-01-05,0.0,0.78,0.0,0.42,0.0,0.0,0.56,1.15,1.11,0.8,2214668.0
2011-01-06,0.0,3.05,0.7,9.11,0.0,0.64,3.37,1.25,1.6,0.74,2092441.0
2011-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096199.0
2011-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170233.0
2011-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2233155.0
2011-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145587.0
2011-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099808.0
2011-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110533.0
2011-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062181.0
2011-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2065844.0
2011-01-15,0.0,0.67,0.03,2.03,0.16,0.0,0.21,5.0,6.24,7.35,2157091.0
2011-01-16,4.98,4.82,3.36,15.82,2.32,3.07,6.51,11.82,16.24,17.5,2161500.0
2011-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2084526.0
2011-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068272.0
2011-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2083024.0
2011-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099708.0
2011-01-21,0.15,0.0,0.17,0.0,0.42,0.2,0.21,0.45,0.49,0.15,2101326.0
2011-01-22,0.6,0.0,1.04,3.12,0.77,1.1,0.68,11.92,15.42,2.66,2132300.0
2011-01-23,8.28,4.25,9.77,4.91,10.14,9.41,13.2,1.66,1.71,8.25,2191167.0
2011-01-24,12.15,14.0,11.11,18.44,11.31,6.41,6.98,9.69,14.83,16.57,2067533.0
2011-01-25,6.35,11.0,9.31,20.14,7.02,9.48,6.57,5.89,4.25,8.84,1994812.0
2011-01-26,0.0,0.0,2.68,6.41,5.25,3.92,1.76,0.0,0.0,18.65,2040740.0
2011-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,2121978.0
2011-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19,11.64,0.0,2099297.0
2011-01-29,6.5,6.15,5.82,2.43,1.21,4.09,4.52,1.1,1.34,1.58,2029673.0
2011-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,2115885.0
2011-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089313.0
2011-02-01,6.83,2.3,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,2040886.0
2011-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124833.0
2011-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085676.0
2011-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2091468.0
2011-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156068.0
2011-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2137131.0
2011-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162294.0
2011-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2111788.0
2011-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2107755.0
2011-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124298.0
2011-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127056.0
2011-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155624.0
2011-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2214484.0
2011-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,1.61,1.04,2112368.0
2011-02-15,0.0,0.07,0.44,0.72,0.13,0.73,0.0,1.45,0.52,0.21,2038162.0
2011-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2069595.0
2011-02-17,0.0,0.0,1.22,1.24,1.1,0.79,0.79,0.53,1.8,0.78,2114564.0
2011-02-18,0.0,0.0,0.83,0.92,0.5,0.3,0.2,3.67,3.92,1.79,2153841.0
2011-02-19,2.0,2.5,2.5,8.32,1.0,1.94,5.2,27.63,33.17,21.0,2122908.0
2011-02-20,2.23,2.0,0.5,0.0,0.0,0.5,0.38,0.0,0.0,0.0,2165983.0
2011-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2111740.0
2011-02-22,1.5,1.5,3.54,8.1,6.4,5.9,7.3,9.5,9.3,12.0,2052506.0
2011-02-23,1.0,1.5,3.45,17.16,5.31,7.69,10.01,30.85,32.85,43.0,2052220.0
