DATE,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,Omerli,Darlik,Elmali,Terkos,B.cekmece,Sazlidere,Alibey,Kazandere,Pabucdere,istirancalar,Istanbul_Daily_Consumption
2011-01-01,83.85,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096199
2011-01-02,83.8,728.0,0.0,0.0,0.0,0.42,0.76875,0.87,0.2,1.2687500000000003,1.0,1.39,2214668
2011-01-03,83.76,728.0,2.0562500000000004,2.8187499999999996,1.50625,2.8249999999999997,0.76875,1.3,1.49375,1.2687500000000003,1.0,2.5875000000000004,2092441
2011-01-04,83.96,729.0,2.0562500000000004,2.8187499999999996,1.50625,2.8249999999999997,0.76875,1.3,1.49375,1.2687500000000003,1.0,2.5875000000000004,2096199
2011-01-05,84.5,734.0,0.0,0.78,0.0,0.42,0.0,0.0,0.56,1.15,1.0,0.8,2214668
2011-01-06,84.87,737.0,0.0,2.8187499999999996,0.7,2.8249999999999997,0.0,0.64,1.49375,1.25,1.0,0.74,2092441
2011-01-07,85.04,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096199
2011-01-08,85.13,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170233
2011-01-09,85.17,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2233155
2011-01-10,85.15,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145587
2011-01-11,85.09,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099808
2011-01-12,85.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110533
2011-01-13,84.99,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062181
2011-01-14,84.91,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2065844
2011-01-15,84.83,737.0,0.0,0.67,0.03,2.03,0.16,0.0,0.21,1.2687500000000003,1.0,2.5875000000000004,2157091
2011-01-16,84.75,736.0,2.0562500000000004,2.8187499999999996,1.50625,2.8249999999999997,0.76875,1.3,1.49375,1.2687500000000003,1.0,2.5875000000000004,2161500
2011-01-17,85.03,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2084526
2011-01-18,85.04,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068272
2011-01-19,85.03,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2083024
2011-01-20,84.99,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099708
2011-01-21,84.86,737.0,0.15,0.0,0.17,0.0,0.42,0.2,0.21,0.45,0.49,0.15,2101326
2011-01-22,84.88,737.0,0.6,0.0,1.04,2.8249999999999997,0.76875,1.1,0.68,1.2687500000000003,1.0,2.5875000000000004,2132300
2011-01-23,84.85,737.0,2.0562500000000004,2.8187499999999996,1.50625,2.8249999999999997,0.76875,1.3,1.49375,1.2687500000000003,1.0,2.5875000000000004,2191167
