Ömerli_x,Darlık,Elmalı,Terkos_x,Alibey_x,Büyükçekmece,Sazlıdere,Kazandere_x,Pabuçdere_x,Istrancalar,Date,Ömerli_y,Darlik,Elmali,Terkos_y,B.çekmece,Sazlidere,Alibey_y,Kazandere_y,Pabuçdere_y,ıstırancalar,Unnamed: 11,Istanbul_Daily_Consumption
0.8007,0.8486,0.9625,0.9187,0.4248,0.8599,0.791,0.939,0.9419,0.9999,2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2096199
0.8007,0.8502,0.9667,0.9168,0.4271,0.8617,0.7921,0.928,0.9311,0.9999,2011-01-02,0.0,0.0,0.0,0.42,1.37,0.87,0.2,2.26,1.89,1.39,,2214668
0.8007,0.8507,0.9688,0.9168,0.4279,0.8655,0.7931,0.9139,0.9171,0.9999,2011-01-03,8.08,10.01,11.64,18.82,9.64,14.72,13.5,8.2,10.37,16.47,,2092441
0.8007,0.8518,0.95,0.9244,0.4334,0.8674,0.7996,0.9065,0.9099,0.9999,2011-01-04,2.78,8.48,7.09,3.42,0.83,4.31,4.3,1.44,1.6,3.99,,2096199
0.8061,0.8598,0.9521,0.9263,0.4581,0.873,0.8037,0.9093,0.9126,0.9999,2011-01-05,0.0,0.78,0.0,0.42,0.0,0.0,0.56,1.15,1.11,0.8,,2214668
0.8092,0.864,0.9698,0.9302,0.467,0.8749,0.8062,0.9148,0.918,0.9999,2011-01-06,0.0,3.05,0.7,9.11,0.0,0.64,3.37,1.25,1.6,0.74,,2092441
0.8099,0.8667,0.9615,0.9321,0.4726,0.8768,0.8088,0.9158,0.919,0.9999,2011-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2096199
0.8084,0.8677,0.974,0.934,0.4775,0.8787,0.8106,0.9158,0.919,0.9999,2011-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2170233
0.8092,0.8693,0.976,0.9321,0.4816,0.8805,0.8106,0.9148,0.918,0.9999,2011-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2233155
0.8076,0.8688,0.975,0.9321,0.4833,0.8805,0.8124,0.9148,0.918,0.9999,2011-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2145587
