Dam,Model Type,MAE,RMSE
Omerli,Univariate_LSTM_Only_Occupancy,0.0034,0.007
Omerli,Multivariate_LSTM_Occupancy_Only,0.0104,0.0151
Omerli,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.0041,0.008
Omerli,Prophet_Multivariate_Extra_Inputs,0.0155,0.0212
Darlik,Univariate_LSTM_Only_Occupancy,0.0042,0.0087
Darlik,Multivariate_LSTM_Occupancy_Only,0.0063,0.0108
Darlik,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.0066,0.0132
Darlik,Prophet_Multivariate_Extra_Inputs,0.0154,0.0233
Elmali,Univariate_LSTM_Only_Occupancy,0.0042,0.0137
Elmali,Multivariate_LSTM_Occupancy_Only,0.0062,0.015
Elmali,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.0077,0.0192
Elmali,Prophet_Multivariate_Extra_Inputs,0.0719,0.0725
Terkos,Univariate_LSTM_Only_Occupancy,0.0024,0.0072
Terkos,Multivariate_LSTM_Occupancy_Only,0.008,0.014
Terkos,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.0059,0.0117
Terkos,Prophet_Multivariate_Extra_Inputs,0.092,0.0926
Alibey,Univariate_LSTM_Only_Occupancy,0.0035,0.0102
Alibey,Multivariate_LSTM_Occupancy_Only,0.0076,0.0136
Alibey,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.0073,0.015
Alibey,Prophet_Multivariate_Extra_Inputs,0.0246,0.0313
Buyukcekmece,Univariate_LSTM_Only_Occupancy,0.0034,0.009
Buyukcekmece,Multivariate_LSTM_Occupancy_Only,0.0105,0.016
Buyukcekmece,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.0045,0.0146
Buyukcekmece,Prophet_Multivariate_Extra_Inputs,0.1427,0.1565
Sazlidere,Univariate_LSTM_Only_Occupancy,0.0026,0.0067
Sazlidere,Multivariate_LSTM_Occupancy_Only,0.0086,0.0139
Sazlidere,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.0032,0.0081
Sazlidere,Prophet_Multivariate_Extra_Inputs,0.1058,0.1094
Kazandere,Univariate_LSTM_Only_Occupancy,0.0055,0.0168
Kazandere,Multivariate_LSTM_Occupancy_Only,0.0089,0.0202
Kazandere,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.006,0.0138
Kazandere,Prophet_Multivariate_Extra_Inputs,0.1449,0.1627
Pabucdere,Univariate_LSTM_Only_Occupancy,0.0048,0.0126
Pabucdere,Multivariate_LSTM_Occupancy_Only,0.0076,0.0157
Pabucdere,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.0048,0.0143
Pabucdere,Prophet_Multivariate_Extra_Inputs,0.1488,0.2112
Istrancalar,Univariate_LSTM_Only_Occupancy,0.0143,0.0354
Istrancalar,Multivariate_LSTM_Occupancy_Only,0.0239,0.04
Istrancalar,Single_Dam_Multivariate_LSTM_Extra_Inputs,0.0147,0.0302
Istrancalar,Prophet_Multivariate_Extra_Inputs,0.0737,0.0835
Omerli,All_Dams_Multivariate_LSTM,0.1188,0.1372
Darlik,All_Dams_Multivariate_LSTM,0.0542,0.0732
Elmali,All_Dams_Multivariate_LSTM,0.0567,0.0786
Terkos,All_Dams_Multivariate_LSTM,0.0911,0.1072
Alibey,All_Dams_Multivariate_LSTM,0.0721,0.0992
Buyukcekmece,All_Dams_Multivariate_LSTM,0.0648,0.0767
Sazlidere,All_Dams_Multivariate_LSTM,0.1044,0.1126
Kazandere,All_Dams_Multivariate_LSTM,0.0477,0.0658
Pabucdere,All_Dams_Multivariate_LSTM,0.0369,0.0467
Istrancalar,All_Dams_Multivariate_LSTM,0.0652,0.0866
Aggregated_General_Occupancy,Prophet_General_Only_Occupancy,0.0292,0.0292
